JimFlyboy3434;FoxNews;2
rushstreetblues;washingtonpost;1
rushstreetblues;ABC;1
rushstreetblues;FoxNews;1
boildcrabz88;CNN;1
worrywarto;FoxNews;1
jss0823kl;FoxNews;1
voteusorg;HillaryClinton;1
affmadow;FoxNews;1
AlisonMSmith;HillaryClinton;1
bentonlee1;FoxNews;1
Redbird_Charlie;FoxNews;1
raaaz174;HillaryClinton;2
ParvaSaeua;HillaryClinton;1
nousgnostic;FoxNews;1
LorenzoLopezMer;FoxNews;1
Aslidi113;CNN;1
iKayenn;HillaryClinton;1
bella_99;TheEllenShow;1
Yolanda1277;FoxNews;1
LOUontheSUBWAY;HillaryClinton;1
Tenzing1620;CNN;1
ViscResponse;HillaryClinton;1
crohlfsen;HillaryClinton;1
pondernation7;HillaryClinton;1
cdmartins7;FoxNews;2
jerry_wooton;FoxNews;1
dave_danner;realDonaldTrump;1
zternest;TIME;1
charliesbridge;FoxNews;1
ericberlin;TIME;1
_LordMC_;HillaryClinton;1
wrdDixon;HillaryClinton;2
SideshowJon36;HillaryClinton;1
Gadambarrett71;FoxNews;1
AMCharles2;FoxNews;1
HostiloEd;FoxNews;1
CurtisCarson50;FoxNews;1
PaulDeyo;AP;1
mikebrumell;FoxNews;1
CobbChuck;RollingStone;1
CobbChuck;ABC;1
TBohnenstiehl;FoxNews;2
BooRadl11994812;FoxNews;1
Jim_Jr;FoxNews;1
rcbvt;FoxNews;2
MrDane1982;HillaryClinton;1
tony160st;FoxNews;1
didit_doty;FoxNews;1
nataliedeedah;HillaryClinton;1
peeco19;TheEllenShow;1
MikeMw86;FoxNews;1
steve_pizza;CNN;1
WhitlowJosh;realDonaldTrump;1
TrumpNewMedia;realDonaldTrump;1
boblevel;AP;1
JaimeBetancurt;FoxNews;1
Samcro69Mp;FoxNews;1
sportbikeguy00;CNN;2
sportbikeguy00;HillaryClinton;1
Bloviatorium;washingtonpost;1
Bloviatorium;FoxNews;2
jessayin2U;CNN;1
jessayin2U;HillaryClinton;1
chrisns2010;CNN;1
chrisns2010;SarahKSilverman;1
Munkykracker;FoxNews;1
nicks_mufc;UberFacts;1
markjsheridan;people;1
Dick_Beninya;FoxNews;2
CalintzSwag;HillaryClinton;1
wubwub08;TIME;2
Nan65419707;realDonaldTrump;1
harlowjohn199;FoxNews;4
khp094;FoxNews;1
acgrace323;CNN;1
Steve_Bussey;FoxNews;1
justariot66;FoxNews;1
CalebHarrison2;nytimes;1
Cmg1952Charles;HillaryClinton;1
DiNardoGD;FoxNews;1
LettyNTX;HillaryClinton;1
kaeridwyn;HillaryClinton;1
ItsThatGuyKai99;realDonaldTrump;1
dubstandardUSA;FoxNews;1
Pipey34;TIME;1
ogamble;HillaryClinton;1
MechaKeller;FoxNews;1
Moldybars;CNN;1
DragonSoul;FoxNews;1
budsexton;washingtonpost;1
kevskinny;CNN;1
nana2aj;FoxNews;1
TheHotterScott;FoxNews;1
EgoAltered02;HillaryClinton;2
HighArchmage;realDonaldTrump;1
wisegirlsrule;realDonaldTrump;1
aavelarx;FoxNews;1
CurlsOfBlonde1;FoxNews;1
ToniMZ81;HillaryClinton;1
Mr_Pinko;FoxNews;1
belizeanfolife;TheEconomist;1
bro_mon1;realDonaldTrump;2
SaltyDrPepper;TIME;1
ceadamssr;FoxNews;1
NavyPatriot50;FoxNews;2
Joelbarros75;nytimes;1
Joelbarros75;realDonaldTrump;1
thomasj17431826;HillaryClinton;3
grodriguez2020;HillaryClinton;2
thegrantyoung;CNN;1
Spinedocs;FoxNews;2
FlushEnema;CNN;2
nyinvesting;realDonaldTrump;1
DRusso97;UberFacts;1
Ctadvalkar;CNN;1
WESTERNRULES;CNN;1
mikehesner;realDonaldTrump;1
BitterEnd2013;FoxNews;2
samkhal91;FoxNews;1
dezlsmith;nytimes;1
RonaldMontgom16;FoxNews;1
jillshroyer;HillaryClinton;1
TreJames_;HuffingtonPost;1
Stilgar3;TheOnion;1
raftofwater;HillaryClinton;1
raftofwater;FoxNews;2
LeRoiJose;FoxNews;1
agentc2;CNN;1
agentc2;FoxNews;1
Nismo22;FoxNews;1
robmont777;FoxNews;1
JamesWRussell66;FoxNews;1
lakehawk2;FoxNews;1
amazindevils;CNN;2
clancygavin420;ABC;1
ross_dutch72083;HillaryClinton;1
TopRT_JP;BreakingNews;3
DMR1826;CNN;1
DMR1826;FoxNews;10
HarryDoyleESPN;FoxNews;1
fedbooks;HillaryClinton;1
mauisrf7;RollingStone;1
lyz_estrada;HillaryClinton;1
luis_vigo_;FoxNews;1
Yeah_Buddy3;CNN;1
JeSuisMystere;CNN;1
JTCap_USF;CNN;1
jflintosh;FoxNews;1
mauriciod44;washingtonpost;1
Steve_McKasson;FoxNews;1
soonrsrule_rob;FoxNews;1
debpiano916;CNN;1
delongrobert58;FoxNews;1
Censuring;HillaryClinton;2
theisaiahbell;HillaryClinton;1
TheWax73;FoxNews;1
OHIO2NY2CO2NC;FoxNews;1
OtisWilbury1;HuffingtonPost;1
johnsmith789011;FoxNews;1
larry8061;FoxNews;1
mercedespitarc1;TheEllenShow;1
farrightgregy;realDonaldTrump;1
dmikeanderson;realDonaldTrump;1
csbeene2014;FoxNews;1
GowValen;HillaryClinton;1
smu_mustangs11;FoxNews;1
txnet;FoxNews;1
DDwarf51;FoxNews;1
wildwolffire67;FoxNews;1
WarDept_47;FoxNews;1
CyStanton;FoxNews;1
dsoderstrom;FoxNews;1
Robbiepatriot;realDonaldTrump;1
kits54;HillaryClinton;2
identifiedblack;HillaryClinton;4
Ter8oma;FoxNews;1
blanike;FoxNews;1
sugaree71;FoxNews;1
MonicaCfromMI;HillaryClinton;1
MonicaCfromMI;FoxNews;1
rebelnow;FoxNews;1
MyPresidentme;FoxNews;2
MyPresidentme;realDonaldTrump;5
Ster24080753;FoxNews;1
LizijieChina;CNN;1
hughcewitt;CNN;4
hughcewitt;FoxNews;8
coreychambers36;realDonaldTrump;1
FallingLeaf1952;FoxNews;3
A1wcc;FoxNews;1
Devin_hormann;HillaryClinton;1
LjdNf;FoxNews;1
Fortsurplus;FoxNews;2
notimeforthis24;HuffingtonPost;1
GuyLindaguy;CNN;1
GreenParadiseD;HillaryClinton;1
MissCandio;FoxNews;1
mamaloie;realDonaldTrump;1
DebJKline;TIME;1
JeffKuznick;FoxNews;2
JeffKuznick;realDonaldTrump;1
terrymapjay;realDonaldTrump;1
NancyJeanMc;FoxNews;1
StevenStreets;CNN;1
StevenStreets;HillaryClinton;2
clayfeathers;FoxNews;1
PascalFortran;FoxNews;2
sushere45;nytimes;1
sushere45;FoxNews;2
RubinReport;HillaryClinton;1
EmanuelaOmal12;HillaryClinton;1
JudeColumbo;FoxNews;1
lundejoan;FoxNews;2
strnbiker;FoxNews;1
IIILindsay;FoxNews;1
ClintRJBa;CNN;3
Noonariirfan4;FoxNews;2
GRmillerman345;FoxNews;1
mabry_anthony;realDonaldTrump;1
Libertykid2001;FoxNews;1
emiluminati;FoxNews;1
kittycatbaty;FoxNews;1
DivaAmie;realDonaldTrump;1
hinkyaz;FoxNews;2
TheTruthGuy23;HuffingtonPost;2
paydaran;HillaryClinton;1
THEREALERICM;TheEllenShow;1
JackRabbitCafe;FoxNews;1
barelybrownW;FoxNews;2
Louise3254;FoxNews;3
Louise3254;realDonaldTrump;1
TACP_TICK;HillaryClinton;1
TACP_TICK;FoxNews;1
thebigmil;FoxNews;1
kjam22tweet;FoxNews;2
marcuson100;CNN;1
ray_aub;realDonaldTrump;2
BAM4AU;FoxNews;1
thnker10;FoxNews;1
saintangelo;CNN;1
lamblock;HillaryClinton;1
DeborahUntamed;realDonaldTrump;1
watchingbirdsgo;FoxNews;1
Robert_Flatters;cnnbrk;1
David_S_Isaacs;FoxNews;2
AngelaDale143;realDonaldTrump;1
johneebegood2;HillaryClinton;2
Consta92400;TIME;1
leaderothepack;HillaryClinton;1
ftgskins;HillaryClinton;1
LooksRighttoMe;FoxNews;1
jujuslopoke;realDonaldTrump;1
75cents;HuffingtonPost;1
Edward17171717;realDonaldTrump;1
CeciMarchisano;FoxNews;1
Mario17music;FoxNews;1
GreenPeaches2;nytimes;1
naicirtcele;CNN;1
67peanut;FoxNews;1
xeromeferal;CNNEE;1
JosephLF;TIME;1
TheSassy_Chic;ABC;1
patfo49;realDonaldTrump;1
AliciaMarks1;FoxNews;1
CrazyCalleja;FoxNews;1
PatrickHaworth;FoxNews;3
itismedesu;ConanOBrien;1
marthaHigh;HillaryClinton;1
marthaHigh;FoxNews;1
GeometricsApp;realDonaldTrump;1
LuvAnIntp;HillaryClinton;2
Shipmaster81;FoxNews;1
cthulhu4america;HillaryClinton;1
1DJSLSU;FoxNews;1
CjonesCar;FoxNews;1
malewine30;realDonaldTrump;1
awatkins952;FoxNews;1
GGGGGGG700;realDonaldTrump;3
jamison1013gma1;FoxNews;1
maxjags18;FoxNews;1
Prd2bnAmerican;FoxNews;1
estebanpainting;SethMacFarlane;1
gmnamedlong;ConanOBrien;1
clb224;FoxNews;1
CarlosMonsoor;FoxNews;1
CarlosMonsoor;realDonaldTrump;1
TulaRenee;FoxNews;1
GringoPhil;FoxNews;1
JcbailieJbailie;FoxNews;1
USAF4life;HillaryClinton;1
Melibous;realDonaldTrump;1
Chef_Mesmer;CNN;1
SecondChanceVT;HillaryClinton;1
SecondChanceVT;TheEllenShow;2
Masked_Liberal;FoxNews;1
avb1031;FoxNews;1
veliz_l;nytimes;1
InTheKnow85;FoxNews;2
MikePajak;FoxNews;1
dgilson57;FoxNews;3
bruce_laslie;FoxNews;2
usuallyrite;HillaryClinton;1
UncleHeisenberg;FoxNews;2
pattykake44;HillaryClinton;1
Zoneduhh;realDonaldTrump;1
sabresnut69;YouTube;1
golfaholic56;FoxNews;1
38_28_38;HillaryClinton;1
FRYMANATION;CNN;1
Re_lDonaldTrump;CNN;1
Re_lDonaldTrump;washingtonpost;1
PrepDerp;YouTube;1
Greg39529063;FoxNews;3
chasbottom;HillaryClinton;2
flyboymcgee;CNN;1
CSRose1963;FoxNews;1
wbrown9444;FoxNews;1
newportrisites;FoxNews;1
JuniaManieri;VEJA;1
thatmattbotkin;FoxNews;1
ernest_ernesw;FoxNews;1
ScallyWagger01;CNN;1
ScallyWagger01;FoxNews;1
18cingirl;HillaryClinton;1
BernieSandner;FoxNews;1
CrammerJ;FoxNews;1
MwaleJhonson;jimmykimmel;1
ShawnS754;HuffingtonPost;1
recordnj;FoxNews;1
RBRNet12;FoxNews;1
Polititroll1;realDonaldTrump;1
YogaMyYoga;realDonaldTrump;1
fsteinmetz70;CNN;1
HillbillieNurse;HillaryClinton;6
dtrusmith;FoxNews;1
ccigroups;washingtonpost;1
jamespmanuel70;FoxNews;2
LarryMa96893912;CNN;2
LarryMa96893912;FoxNews;6
Joseywalesful;ndtv;1
stroker1162;FoxNews;1
npallitto;FoxNews;1
ATFExpress;realDonaldTrump;1
KingBillyV;HillaryClinton;1
DeNeiceKenehan;HillaryClinton;4
epm357;HillaryClinton;5
bythelake2;realDonaldTrump;1
trumprepublic;realDonaldTrump;1
NBCNews;NBCNews;1
Incorrigible2;HillaryClinton;1
varunbganapathy;FoxNews;2
Reaper3232Ryan;TheEllenShow;1
bobbybnews;FoxNews;1
cts24tnvols;FoxNews;1
sleuly;FoxNews;1
curtismuddog;realDonaldTrump;4
Jimbo_Whitney;HuffingtonPost;1
pchino12;FoxNews;1
juneszahdi;HillaryClinton;1
Francis23680356;CNN;1
MrMcNam;FoxNews;1
Libsarescum;washingtonpost;1
RebelYellUSA;HillaryClinton;1
ElChapoTrump;FoxNews;1
commonsense10;FoxNews;1
TrHaza;FoxNews;1
SustoSuspiro;FoxNews;2
SantoriniBoo;nytimes;1
Chance_Rochell;realDonaldTrump;1
SCritique;CNN;3
dragoncapt1;FoxNews;2
SGTDETH75;HillaryClinton;1
bobbypickens;FoxNews;1
tabor97;FoxNews;1
mtvrupp;TheEllenShow;1
Goombata;SarahKSilverman;1
ChristyLawless;jimmykimmel;1
starjumper9;FoxNews;1
Karissa6407;realDonaldTrump;1
tryin2die2self;FoxNews;1
eastversewest;CNN;1
mikenbarb4;FoxNews;2
GerryDuggan;HillaryClinton;1
robtisdale77;AP;1
TheComboBreaker;FoxNews;1
ocularnervosa;CNN;1
sandhillshrink;FoxNews;3
zxl091212;FoxNews;1
sinabunzzz;CNN;1
Lg4Lg;HillaryClinton;6
Lg4Lg;TIME;1
BRADSPORTS;HillaryClinton;2
AN_BWH;nytimes;1
RedHotinOhio;FoxNews;1
l8deis;realDonaldTrump;2
tahfiz88;FoxNews;1
mkues65;HillaryClinton;4
